metraz,rozloha,energeticka_narocnost,stav,lokalita,cena,link
50,2+kk,G,V dobrém stavu,praha,8550000,https://www.sreality.cz/detail/prodej/byt/2+kk/praha-vinohrady-na-folimance/2889380428
68,3+kk,G,Ve velmi dobrém stavu,liberecky-kraj,6490000,https://www.sreality.cz/detail/prodej/byt/3+kk/liberec-liberec-ix-januv-dul-husitska/3994120780
58,2+kk,B,Novostavba,praha,8878569,https://www.sreality.cz/detail/prodej/byt/2+kk/praha-vysocany-pod-krocinkou/2949751372
84,3+kk,D,Po rekonstrukci,stredocesky-kraj,6415081,https://www.sreality.cz/detail/prodej/byt/3+kk/neprobylice-neprobylice-/3635208780
67,3+kk,B,Novostavba,praha,9290000,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-miskovice-vratenska/242938444
64,3+kk,D,V dobrém stavu,stredocesky-kraj,6700000,https://www.sreality.cz/detail/prodej/byt/3+kk/husinec-rez-nad-udolim/2191290956
64,2+kk,B,Ve velmi dobrém stavu,karlovarsky-kraj,4290000,https://www.sreality.cz/detail/prodej/byt/2+kk/merklin-pstruzi-/492769868
31,1+kk,B,Novostavba,praha,5475698,https://www.sreality.cz/detail/prodej/byt/1+kk/praha-vrsovice-murmanska/3592086092
77,3+kk,B,Novostavba,praha,11283720,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-cakovice-marie-podvalove/1671439692
90,4+kk,G,Ve velmi dobrém stavu,praha,13500000,https://www.sreality.cz/detail/prodej/byt/4+kk/praha-karlin-sokolovska/4047336012
75,3+kk,A,Novostavba,praha,12828000,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-radlice-u-komina/4023129420
